// Start Time: 0
// Sample rate: 50.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_w	Quat_x	Quat_y	Quat_z
 1162	2.998571	5.889611	-0.062291	-0.193529	0.338163	-0.433408	-0.184171	-0.698448	0.157489	0.680986	0.601205	-0.398636	-0.126092	
 1163	3.024487	6.818952	-0.669785	-0.154809	0.432853	-0.468819	-0.176300	-0.698007	0.155727	0.683097	0.602380	-0.392936	-0.126955	
 1164	2.852966	6.756180	-0.621517	-0.152726	0.339338	-0.486828	-0.168271	-0.699199	0.154486	0.684726	0.603660	-0.387496	-0.128807	
 1165	3.401600	8.370809	-1.055643	-0.214665	0.428774	-0.487549	-0.160098	-0.698934	0.153678	0.687089	0.604460	-0.381608	-0.130048	
 1166	4.008347	8.337200	-0.690268	0.154669	0.477771	-0.323812	-0.153519	-0.699999	0.154352	0.687551	0.607360	-0.376574	-0.128764	
 1167	3.914554	9.144426	-0.623517	-0.336368	0.363005	-0.223548	-0.147867	-0.700655	0.154438	0.690706	0.606194	-0.372571	-0.129016	
 1168	4.960884	10.624702	-0.749691	-0.053712	0.321551	-0.035758	-0.143731	-0.699230	0.152451	0.692187	0.606358	-0.370074	-0.127484	
 1169	4.812668	10.634605	-0.605502	-0.035089	0.380450	0.050463	-0.140833	-0.698568	0.154118	0.693901	0.606257	-0.368006	-0.124598	
 1170	4.473395	10.891841	-0.483098	-0.050702	0.286891	0.053716	-0.139272	-0.697882	0.154630	0.695335	0.606053	-0.366289	-0.122642	
 1171	4.861469	11.975870	-0.075119	0.090381	0.194203	0.110348	-0.139989	-0.697426	0.155794	0.695662	0.606365	-0.366025	-0.120006	
 1172	7.804097	15.057028	-2.855830	0.372642	0.395317	0.233214	-0.139623	-0.695824	0.163734	0.695123	0.608558	-0.365143	-0.114590	
 1173	4.495822	11.413572	0.923170	0.211265	0.038185	0.094059	-0.137032	-0.698175	0.161324	0.694095	0.609584	-0.366023	-0.112551	
 1174	3.178659	12.260357	-0.924609	-0.105529	0.062041	-0.147358	-0.135285	-0.698897	0.165706	0.694804	0.609449	-0.364588	-0.113551	
 1175	2.375833	11.851520	-0.569221	-0.181547	0.177100	-0.520921	-0.126872	-0.701414	0.164336	0.695943	0.610180	-0.360264	-0.116424	
 1176	2.512022	11.836800	-0.220779	-0.490590	0.368700	-0.581049	-0.117944	-0.705766	0.157354	0.699569	0.609256	-0.353584	-0.119949	
 1177	2.362179	11.927281	-0.157470	-0.764987	0.471601	-0.633259	-0.107284	-0.710134	0.149012	0.705075	0.606608	-0.345739	-0.123934	
 1178	1.659792	11.148135	0.955987	-0.704926	0.460243	-0.565592	-0.097366	-0.715077	0.138473	0.710212	0.604124	-0.338187	-0.127528	
 1179	1.693137	10.707037	1.493994	-0.609607	0.465459	-0.472280	-0.087762	-0.721311	0.129366	0.714833	0.601905	-0.331426	-0.129922	
 1180	1.493171	10.033683	1.639677	-0.533057	0.458612	-0.465682	-0.079587	-0.723699	0.122900	0.718938	0.600204	-0.324656	-0.132219	
 1181	1.406449	9.247490	1.994700	-0.308038	0.383775	-0.502769	-0.073792	-0.728853	0.115022	0.721371	0.600054	-0.318594	-0.134376	
 1182	1.191930	8.655939	1.863482	-0.155914	0.318672	-0.515808	-0.066885	-0.733042	0.111525	0.722621	0.600980	-0.313000	-0.136645	
 1183	1.043929	8.333842	1.460750	-0.032707	0.241476	-0.491171	-0.055495	-0.734718	0.113569	0.722932	0.602538	-0.308334	-0.138737	
 1184	1.098969	7.793845	1.175552	0.085000	0.183526	-0.352120	-0.048978	-0.737330	0.115554	0.722498	0.604480	-0.305016	-0.139879	
 1185	1.225502	7.269963	0.842293	0.178344	0.193314	-0.159222	-0.042670	-0.739600	0.118600	0.721827	0.606462	-0.302955	-0.139238	
 1186	1.329685	6.974177	0.591612	-0.048096	0.175468	-0.017571	-0.041679	-0.741560	0.123182	0.722632	0.606404	-0.301530	-0.138413	
 1187	1.502421	6.238431	0.716179	-0.022706	0.190354	0.185425	-0.041659	-0.741849	0.123580	0.723641	0.605886	-0.301283	-0.135920	
 1188	1.735606	6.015896	0.594427	0.005243	0.258429	0.354572	-0.042960	-0.744279	0.125734	0.724869	0.605193	-0.301581	-0.131738	
 1189	1.948727	5.762464	0.697386	0.033408	0.238442	0.478932	-0.047500	-0.743688	0.127457	0.726052	0.604237	-0.302829	-0.126652	
 1190	2.226775	5.755075	0.624368	-0.038275	0.215982	0.565312	-0.052932	-0.744608	0.131909	0.727647	0.602501	-0.304637	-0.121322	
 1191	2.745877	6.007469	0.637699	-0.058009	0.292833	0.611654	-0.061087	-0.743821	0.133135	0.729662	0.600488	-0.306166	-0.115196	
 1192	3.170558	6.503342	0.762703	-0.020843	0.348026	0.616458	-0.070739	-0.742054	0.135350	0.731550	0.598825	-0.307312	-0.108634	
 1193	3.699739	7.387671	0.927503	0.003171	0.421451	0.573343	-0.076203	-0.740802	0.139298	0.733485	0.597443	-0.307733	-0.101793	
 1194	4.192517	8.124378	1.024749	-0.062375	0.519103	0.545046	-0.084855	-0.737910	0.141058	0.735995	0.595811	-0.307124	-0.094848	
 1195	4.742150	8.656795	1.316773	-0.094221	0.622509	0.618274	-0.090612	-0.737293	0.144175	0.739089	0.593675	-0.306229	-0.086730	
